GOLO                                                        ,GOLO                          ,"2340 W 52ND ST, Chicago                                 , IL",$3.199
COSTCO #0580                                                ,Costco                        ,"7300 S CICERO AVE, Chicago                                 , IL",$3.259
CITGO                                                       ,CITGO                         ,"2800 W 63RD ST, Chicago                                 , IL",$3.499
77TH STREET CITGO,CITGO                         ,"7700 S KEDZIE AVE, Chicago                                 , IL",$3.499
MARATHON                                                    ,Marathon                      ,"2010 W MARQUETTE RD, Chicago                                 , IL",$3.499
CITY GAS,CITGO                         ,"3645 W 79TH ST, Chicago                                 , IL",$3.499
CLARK #4409                                                 ,Clark                         ,"7050 S DAMEN AVE, Chicago, IL",$3.499
Mobil,Mobil                         ,"2006 W GARFIELD BLVD, Chicago, IL",$3.499
FALCON FUEL                                                 ,Falcon Fuel                   ,"7858 S WESTERN AVE, Chicago, IL",$3.499
82ND ST CITGO,CITGO                         ,"8200 S KEDZIE AVE, Chicago                                 , IL",$3.499
ASHLAND FUEL AND QUIK,CITGO                         ,"5901 S ASHLAND AVE, Chicago                                 , IL",$3.499
FOOD4LESS #1552 (DISCOUNT AVAILABLE)                        ,Food 4 Less                   ,"6944 S ASHLAND AVE, Chicago                                 , IL",$3.499
BP                                                          ,BP                            ,"5616 S WESTERN AVE, Chicago                                 , IL",$3.579
SHELL                                                       ,Shell                         ,"5230 S WESTERN AVE, Chicago, IL",$3.579
CITGO ON WESTERN                                            ,CITGO                         ,"5035 S WESTERN AVE, Chicago                                 , IL",$3.579
SANYS MARATHON,Marathon                      ,"3000 W 63RD ST, Chicago                                 , IL",$3.599
CLARK                                                       ,Clark                         ,"6700 S ASHLAND AVE, Chicago, IL",$3.599
BP,BP                            ,"2700 W 51ST ST, Chicago                                 , IL",$3.649
MOBIL,Mobil                         ,"6655 S KEDZIE AVE, Chicago                                 , IL",$3.699
MARATHON                                                    ,Marathon                      ,"4300 W 67TH ST, Chicago, IL",$3.699
MOBIL                                                       ,Mobil                         ,"7200 S WESTERN AVE, Chicago                                 , IL",$3.699
ASHDALE PLAZA                                               ,Mobil                         ,"8145 S PULASKI RD, Chicago                                 , IL",$3.699
KEDZIE BP                                                   ,BP                            ,"6500 S KEDZIE AVE, Chicago                                 , IL",$3.799
PHILLIPS 66                                                 ,Phillips 66                   ,"3901 W 63RD ST, Chicago, IL",$3.799
Shell,Shell                         ,"3642 W 59TH ST, Chicago, IL",$3.799
ON THE GO BP #3                                             ,BP                            ,"6702 S PULASKI RD, Chicago                                 , IL",$3.799
ON THE GO BP #6                                             ,BP                            ,"5901 S PULASKI RD, Chicago                                 , IL",$3.799
CIRCLE K #6864                                              ,Circle K                      ,"5500 S PULASKI RD, Chicago, IL",$3.799
MIDWAY BP                                                   ,BP                            ,"4710 W 63RD ST, Chicago                                 , IL",$3.799
BP                                                          ,BP                            ,"4401 W 55TH ST, Chicago                                 , IL",$3.799
B AND J ARCHER STATION                                      ,BP                            ,"4710 S ARCHER AVE, Chicago                                 , IL",$3.799
SHELL,Shell                         ,"4647 S PULASKI RD, Chicago                                 , IL",$3.799
CITGO                                                       ,CITGO                         ,"4319 W 47TH ST, Chicago                                 , IL",$3.799
SOUTH PULASKI BP                                            ,BP                            ,"4540 S PULASKI RD, Chicago                                 , IL",$3.859
SHELL,Shell                         ,"6658 S WESTERN AVE, Chicago                                 , IL",$3.899
MARATHON                                                    ,Marathon                      ,"2800 W 55TH ST, Chicago                                 , IL",$3.899
GAS PLUS #3 MOBIL,Mobil                         ,"6000 S WESTERN AVE, Chicago                                 , IL",$3.899
DAMEN CITGO                                                 ,CITGO                         ,"6302 S DAMEN AVE, Chicago                                 , IL",$3.999
SHELL                                                       ,Shell                         ,"4658 S CALIFORNIA AVE, Chicago                                 , IL",$3.999
MIDWAY GAS                                                  ,Mobil                         ,"4951 S CICERO AVE, Chicago                                 , IL",$4.199
CLARK                                                       ,Clark                         ,"6124 S ASHLAND AVE, Chicago, IL",$3.599
GAGE PARK CITGO                                             ,CITGO                         ,"2801 W 59TH ST, Chicago                                 , IL",$3.699
Gas Center,Unbranded                     ,"3037 W 63RD ST, Chicago, IL",
FALCON FUEL                                                 ,Falcon Fuel                   ,"2807 W 71ST ST, Chicago, IL",
CLARK                                                       ,Clark                         ,"1952 W GARFIELD BLVD, Chicago                                 , IL",
COSTCO #1085                                                ,Costco                        ,"8400 W NORTH AVE, Melrose Park                            , IL",$3.289
STOP AND GO                                                 ,Marathon                      ,"7750 W GRAND AVE, Elmwood Park, IL",$3.339
DELTA SONIC CAR WASH #1824                                  ,Delta Sonic                   ,"8490 W NORTH AVE, Melrose Park                            , IL",$3.349
CIRCLE K #6790                                              ,Circle K                      ,"7201 NORTH AVE, River Forest, IL",$3.379
ELMWOOD PARK CITGO                                          ,CITGO                         ,"2000 N HARLEM AVE, Elmwood Park                            , IL",$3.389
BP,BP                            ,"1800 N HARLEM AVE, Elmwood Park                            , IL",$3.389
MOBIL                                                       ,Mobil                         ,"2144 N HARLEM AVE, Elmwood Park                            , IL",$3.399
RIVER AND GRAND BP                                          ,BP                            ,"8800 GRAND AVE, River Grove                             , IL",$3.399
IMPACT FUEL                                                 ,Unbranded                     ,"7700 W IRVING PARK RD, Harwood Heights, IL",$3.449
MARATHON                                                    ,Marathon                      ,"2474 THATCHER AVE, River Grove                             , IL",$3.459
ELMWOOD PARK BP                                             ,BP                            ,"7450 W GRAND AVE, Elmwood Park, IL",$3.479
BP                                                          ,BP                            ,"2758 N HARLEM AVE, Elmwood Park                            , IL",$3.479
TOMEGAS                                                     ,Mobil                         ,"3200 N HARLEM AVE, Chicago, IL",$3.489
ELMWOOD PARK BP                                             ,BP                            ,"7600 W NORTH AVE, Elmwood Park                            , IL",$3.499
BP                                                          ,BP                            ,"3611 N HARLEM AVE, Chicago                                 , IL",$3.499
GALAXY SHELL                                                ,Shell                         ,"6747 W IRVING PARK RD, Chicago                                 , IL",$3.499
RIVER GROVE CITGO,CITGO                         ,"8343 BELMONT AVE, River Grove                             , IL",$3.559
G AND E PETRO                                               ,Mobil                         ,"9500 GRAND AVE, Franklin Park, IL",$3.559
Mobil,Mobil                         ,"5701 W FULLERTON AVE, Chicago, IL",$3.579
BP                                                          ,BP                            ,"727 N HARLEM AVE, Oak Park                                , IL",$3.599
FULLERTON SHELL                                             ,Shell                         ,"6001 W FULLERTON AVE, Chicago                                 , IL",$3.659
MOBIL                                                       ,Mobil                         ,"754 N HARLEM AVE, River Forest                            , IL",$3.659
SHELL,Shell                         ,"6400 W BELMONT AVE, Chicago                                 , IL",$3.699
SHELL                                                       ,Shell                         ,"6129 NORTH AVE, Oak Park                                , IL",$3.779
J AND M BP                                                  ,BP                            ,"6119 NORTH AVE, Oak Park                                , IL",$3.779
GRAND BP                                                    ,BP                            ,"6359 W GRAND AVE, Chicago                                 , IL",$3.799
COSTCO #1107                                                ,Costco                        ,"1430S ASHLAND AVE, Chicago                                 , IL",$3.429
F Z FOODMART                                                ,Shell                         ,"2401 W ROOSEVELT RD, Chicago, IL",$3.509
SHELL                                                       ,Shell                         ,"2477 S ARCHER AVE, Chicago, IL",$3.599
BP                                                          ,BP                            ,"1602 W CERMAK RD, Chicago, IL",$3.799
BP                                                          ,BP                            ,"1955 W CERMAK RD, Chicago                                 , IL",$3.799
SHANTARA BP                                                 ,BP                            ,"50 W CONGRESS PKWY, Chicago, IL",$3.899
SHELL                                                       ,Shell                         ,"1949 W AUGUSTA BLVD, Chicago, IL",$3.899
SHELL                                                       ,Shell                         ,"823 N WESTERN AVE, Chicago                                 , IL",$3.899
STATE OIL CITGO                                             ,CITGO                         ,"225 N WESTERN AVE, Chicago                                 , IL",$3.939
CIRCLE K #6736                                              ,Circle K                      ,"350 W CHICAGO AVE, Chicago, IL",$3.959
BP                                                          ,BP                            ,"2405 W AUGUSTA BLVD, Chicago                                 , IL",$3.959
GAS AND GO GRAND                                            ,CITGO                         ,"1535 W GRAND AVE, Chicago                                 , IL",$3.969
ASHLAND MARATHON                                            ,Marathon                      ,"649 N ASHLAND AVE, Chicago, IL",$3.969
ROCK N ROLL BP                                              ,BP                            ,"631 N LASALLE ST, Chicago, IL",$3.979
DOWNTOWN BP                                                 ,BP                            ,"750 N WELLS ST, Chicago                                 , IL",$3.979
SHELL,Shell                         ,"130 W NORTH AVE, Chicago                                 , IL",$3.979
ARCHWAY STANDARD                                            ,BP                            ,"1647 N LA SALLE DR, Chicago                                 , IL",$3.979
SHELL,Shell                         ,"505 N ASHLAND AVE, Chicago                                 , IL",$3.989
WESTERN AND WARREN                                          ,Shell                         ,"45 N WESTERN AVE, Chicago                                 , IL",$3.989
BP                                                          ,BP                            ,"101 N WESTERN AVE, Chicago, IL",$3.989
CIRCLE K #6788                                              ,Circle K                      ,"1001 W JACKSON BLVD, Chicago, IL",$3.999
CIRCLE K #6765                                              ,Circle K                      ,"1160 W VAN BUREN ST, Chicago, IL",$3.999
THE PRIDE OF CHICAGO                                        ,The Pride                     ,"1221 S WABASH AVE, Chicago                                 , IL",$3.999
DIVISION NOBLE BP                                           ,BP                            ,"1334 W DIVISION ST, Chicago, IL",$3.999
SHELL,Shell                         ,"1400 W DIVISION ST, Chicago                                 , IL",$3.999
BP                                                          ,BP                            ,"1004 S DESPLAINES ST, Chicago, IL",$4.099
7-ELEVEN #38585                                             ,7-Eleven                      ,"560 W GREENSHAW STREET, Chicago, IL",$4.099
TONYS MOBIL                                                 ,Mobil                         ,"2401 W OGDEN AVE, Chicago, IL",$4.099
Mobil,Mobil                         ,"1549 W ROOSEVELT RD, Chicago, IL",$4.199
MON AMI MOBIL                                               ,Mobil                         ,"1234 N HALSTED ST, Chicago                                 , IL",$4.199
BP                                                          ,BP                            ,"1600 W VAN BUREN ST, Chicago                                 , IL",$4.259
BP                                                          ,BP                            ,"1600 N ELSTON AVE, Chicago                                 , IL",$4.259
SHELL,Shell                         ,"1741 S RUBLE ST, Chicago                                 , IL",$4.299
MARATHON                                                    ,Marathon                      ,"335 N OGDEN AVE, Chicago, IL",$4.399
FARD ONE,Unbranded                     ,"1721 S PAULINA ST, Chicago                                 , IL",$3.709
FULTON DESPLAINES GARAGE,Unbranded                     ,"225 N DESPLAINES ST, Chicago                                 , IL",
STOP AND GO                                                 ,Marathon                      ,"7750 W GRAND AVE, Elmwood Park, IL",$3.339
CIRCLE K #6790                                              ,Circle K                      ,"7201 NORTH AVE, River Forest, IL",$3.379
ELMWOOD PARK CITGO                                          ,CITGO                         ,"2000 N HARLEM AVE, Elmwood Park                            , IL",$3.389
BP,BP                            ,"1800 N HARLEM AVE, Elmwood Park                            , IL",$3.389
MOBIL                                                       ,Mobil                         ,"2144 N HARLEM AVE, Elmwood Park                            , IL",$3.399
RIVER AND GRAND BP                                          ,BP                            ,"8800 GRAND AVE, River Grove                             , IL",$3.399
IMPACT FUEL                                                 ,Unbranded                     ,"7700 W IRVING PARK RD, Harwood Heights, IL",$3.449
MARATHON                                                    ,Marathon                      ,"2474 THATCHER AVE, River Grove                             , IL",$3.459
BP                                                          ,BP                            ,"2758 N HARLEM AVE, Elmwood Park                            , IL",$3.479
ELMWOOD PARK BP                                             ,BP                            ,"7450 W GRAND AVE, Elmwood Park, IL",$3.479
TOMEGAS                                                     ,Mobil                         ,"3200 N HARLEM AVE, Chicago, IL",$3.489
MOBIL                                                       ,Mobil                         ,"6630 W MONTROSE AVE, Harwood Heights, IL",$3.489
BP                                                          ,BP                            ,"3611 N HARLEM AVE, Chicago                                 , IL",$3.499
GALAXY SHELL                                                ,Shell                         ,"6747 W IRVING PARK RD, Chicago                                 , IL",$3.499
BP                                                          ,BP                            ,"6000 W ADDISON ST, Chicago                                 , IL",$3.499
ELMWOOD PARK BP                                             ,BP                            ,"7600 W NORTH AVE, Elmwood Park                            , IL",$3.499
RIVER GROVE CITGO,CITGO                         ,"8343 BELMONT AVE, River Grove                             , IL",$3.559
PARKS BP                                                    ,BP                            ,"6350 W MONTROSE AVE, Chicago                                 , IL",$3.599
Shell,Shell                         ,"4555 N NAGLE AVE, Harwood Heights                         , IL",$3.599
SHELL                                                       ,Shell                         ,"5959 W MONTROSE AVE, Chicago                                 , IL",$3.599
BP                                                          ,BP                            ,"4802 N CANFIELD AVE, Harwood Heights                         , IL",$3.659
NORRIDGE MOBIL                                              ,Mobil                         ,"8339 W LAWRENCE AVE, Harwood Heights                         , IL",$3.659
MOBIL                                                       ,Mobil                         ,"8500 W LAWRENCE AVE, Harwood Heights                         , IL",$3.659
MARATHON                                                    ,Marathon                      ,"5800 W BELMONT AVE, Chicago, IL",$3.659
FULLERTON SHELL                                             ,Shell                         ,"6001 W FULLERTON AVE, Chicago                                 , IL",$3.659
SHELL                                                       ,Shell                         ,"5150 N CUMBERLAND AVE, Harwood Heights                         , IL",$3.659
IRVING AND RIVER BP                                         ,BP                            ,"9201 IRVING PARK RD, Schiller Park, IL",$3.659
DIVERSEY BP                                                 ,BP                            ,"5610 W DIVERSEY AVE, Chicago                                 , IL",$3.659
SHELL,Shell                         ,"6400 W BELMONT AVE, Chicago                                 , IL",$3.699
HARLEM FOSTER,Mobil                         ,"5148 N HARLEM AVE, Harwood Heights                         , IL",$3.699
BP                                                          ,BP                            ,"4401 N HARLEM AVE, Harwood Heights                         , IL",$3.799
GRAND BP                                                    ,BP                            ,"6359 W GRAND AVE, Chicago                                 , IL",$3.799
COSTCO #1085                                                ,Costco                        ,"8400 W NORTH AVE, Melrose Park                            , IL",$3.289
STOP AND GO                                                 ,Marathon                      ,"7750 W GRAND AVE, Elmwood Park, IL",$3.339
MANHEIN GAS AND MINIMART                                    ,Marathon                      ,"2441 MANNHEIM RD, Franklin Park                           , IL",$3.339
DELTA SONIC CAR WASH #1824                                  ,Delta Sonic                   ,"8490 W NORTH AVE, Melrose Park                            , IL",$3.349
CIRCLE K #6790                                              ,Circle K                      ,"7201 NORTH AVE, River Forest, IL",$3.379
ELMWOOD PARK CITGO                                          ,CITGO                         ,"2000 N HARLEM AVE, Elmwood Park                            , IL",$3.389
BP,BP                            ,"1800 N HARLEM AVE, Elmwood Park                            , IL",$3.389
RIVER AND GRAND BP                                          ,BP                            ,"8800 GRAND AVE, River Grove                             , IL",$3.399
MOBIL                                                       ,Mobil                         ,"2144 N HARLEM AVE, Elmwood Park                            , IL",$3.399
IMPACT FUEL                                                 ,Unbranded                     ,"7700 W IRVING PARK RD, Harwood Heights, IL",$3.449
MARATHON                                                    ,Marathon                      ,"2474 THATCHER AVE, River Grove                             , IL",$3.459
FOOD4LESS #1560 (DISCOUNT AVAILABLE)                        ,Food 4 Less                   ,"2525 W NORTH AVE, Melrose Park                            , IL",$3.459
ELMWOOD PARK BP                                             ,BP                            ,"7450 W GRAND AVE, Elmwood Park, IL",$3.479
BP                                                          ,BP                            ,"2758 N HARLEM AVE, Elmwood Park                            , IL",$3.479
TOMEGAS                                                     ,Mobil                         ,"3200 N HARLEM AVE, Chicago, IL",$3.489
ELMWOOD PARK BP                                             ,BP                            ,"7600 W NORTH AVE, Elmwood Park                            , IL",$3.499
BP                                                          ,BP                            ,"1309 N 25TH AVE, Melrose Park, IL",$3.499
SHELL                                                       ,Shell                         ,"2201 N MANNHEIM RD, Melrose Park, IL",$3.499
SPEEDWAY #6809 (DISCOUNT AVAILABLE)                         ,Speedway                      ,"2139 N MANNHEIM RD, Melrose Park, IL",$3.499
BP                                                          ,BP                            ,"3611 N HARLEM AVE, Chicago                                 , IL",$3.499
MAYWOOD CLARK                                               ,Clark                         ,"409 N 9TH AVE, Maywood                                 , IL",$3.499
FLASH PANTRY LAKEVIEW MART                                  ,Mobil                         ,"1000 W LAKE ST, Melrose Park                            , IL",$3.499
MARATHON,Marathon                      ,"204 LAKE ST, Maywood                                 , IL",$3.499
CLARK                                                       ,Clark                         ,"15 N 1ST AVE, Maywood, IL",$3.499
CIRCLE K #6741                                              ,Circle K                      ,"9601 GRAND AVE, Franklin Park, IL",$3.539
RIVER GROVE CITGO,CITGO                         ,"8343 BELMONT AVE, River Grove                             , IL",$3.559
G AND E PETRO                                               ,Mobil                         ,"9500 GRAND AVE, Franklin Park, IL",$3.559
7-ELEVEN #38541                                             ,7-Eleven                      ,"2418 W NORTH AVE, Melrose Park, IL",$3.559
MANNHEIM CITGO,CITGO                         ,"2805 MANNHEIM RD, Franklin Park                           , IL",$3.559
IRVING AND RIVER BP                                         ,BP                            ,"9201 IRVING PARK RD, Schiller Park, IL",$3.659
Phillips 66,Phillips 66                   ,"9340 IRVING PARK RD, Schiller Park                           , IL",$3.659
SHELL SERVICE STATION                                       ,Shell                         ,"3216 W NORTH AVE, Stone Park                              , IL",$3.699
CITGO                                                       ,CITGO                         ,"1503 BROADWAY ST, Melrose Park                            , IL",$3.799
MANHEIM MOBIL                                               ,Mobil                         ,"3201 MANNHEIM RD, Franklin Park                           , IL",$3.959
THORNTONS #7                                                ,Thorntons                     ,"2640 MANNHEIM RD, Franklin Park, IL",$3.289
COSTCO #1085                                                ,Costco                        ,"8400 W NORTH AVE, Melrose Park                            , IL",$3.289
SUPER SAVE                                                  ,Unbranded                     ,"101 MADISON ST, Maywood, IL",$3.329
MANHEIN GAS AND MINIMART                                    ,Marathon                      ,"2441 MANNHEIM RD, Franklin Park                           , IL",$3.339
DELTA SONIC CAR WASH #1824                                  ,Delta Sonic                   ,"8490 W NORTH AVE, Melrose Park                            , IL",$3.349
MAYWOOD BP                                                  ,BP                            ,"1001 S 1ST AVE, Maywood, IL",$3.369
RIVER AND GRAND BP                                          ,BP                            ,"8800 GRAND AVE, River Grove                             , IL",$3.399
MARATHON                                                    ,Marathon                      ,"300 E NORTH AVE, Melrose Park                            , IL",$3.439
BELLWOOD MOBIL                                              ,Mobil                         ,"2418 SAINT CHARLES RD, Bellwood                                , IL",$3.449
FOOD4LESS #1560 (DISCOUNT AVAILABLE)                        ,Food 4 Less                   ,"2525 W NORTH AVE, Melrose Park                            , IL",$3.459
SHELL,Shell                         ,"70 E NORTH AVE, Melrose Park                            , IL",$3.459
MARATHON                                                    ,Marathon                      ,"2474 THATCHER AVE, River Grove                             , IL",$3.459
MARATHON                                                    ,Marathon                      ,"3301 W LAKE ST, Melrose Park                            , IL",$3.479
BP                                                          ,BP                            ,"1309 N 25TH AVE, Melrose Park, IL",$3.499
FLASH PANTRY LAKEVIEW MART                                  ,Mobil                         ,"1000 W LAKE ST, Melrose Park                            , IL",$3.499
MAYWOOD CLARK                                               ,Clark                         ,"409 N 9TH AVE, Maywood                                 , IL",$3.499
MARATHON,Marathon                      ,"204 LAKE ST, Maywood                                 , IL",$3.499
SPEEDWAY #6809 (DISCOUNT AVAILABLE)                         ,Speedway                      ,"2139 N MANNHEIM RD, Melrose Park, IL",$3.499
CLARK                                                       ,Clark                         ,"15 N 1ST AVE, Maywood, IL",$3.499
SHELL                                                       ,Shell                         ,"2201 N MANNHEIM RD, Melrose Park, IL",$3.499
BELLWOOD BP                                                 ,BP                            ,"500 MANNHEIM RD, Bellwood                                , IL",$3.499
A2Z PETROLEUM                                               ,Marathon                      ,"503 MANNHEIM RD, Bellwood, IL",$3.499
Maywood Mart,Exxon                         ,"601 S 5TH AVE, Maywood, IL",$3.499
CLARK                                                       ,Clark                         ,"545 MANNHEIM RD, Bellwood                                , IL",$3.499
ST GEORGE MOBIL                                             ,Mobil                         ,"2 E LAKE ST, Melrose Park, IL",$3.499
GULF                                                        ,Gulf                          ,"1209 S 1ST AVE, Maywood                                 , IL",$3.499
BP                                                          ,BP                            ,"5 W NORTH AVE, Melrose Park, IL",$3.499
